олень/der Hirsch
заяц/der Hase
кенгуру/das Känguruh
жираф/die Giraffe
лиса/der Fuchs
белка/das Eichhorn
волк/der Wolf
медведь/der Bär
носорог/das Nashorn
слон/der Elefant
зебра/das Zebra
бегемот/das Nilpferd
тигр/der Tiger
лев/der Löwe
обезьяна/der Affe
крокодил/das Krokodil
корова/die Kuh
лошадь/das Pferd
осёл/der Esel
индюк/der Truthahn
коза/die Ziege
собака/der Hund
кошка/die Katze
свинья/das Schwein
утка/die Ente
курица/das Huhn
овца/das Schaf
сова/die Eule
филин/der Uhu
акула/der Hai
дельфин/der Delpin
кит/der Wal
осьминог/der Krake
медуза/die Meduse
краб/die Krabbe
черепаха/die Schildkröte
жаба/die Kröte
